Elapsed, Counts, T (Raw), T1 (C), P (Raw), P1 (mbar), P2 (mbar), Altitude (m), Dead Time (s), Dead Time Counts
792355.504000, -1, 8424642, 29.628707, 6759212, 1009.122637, 1009.122637, 102.702515, 0.000000, -1
792356.504000, -1, 8424646, 29.628839, 6759432, 1009.209729, 1009.209729, 101.956154, 0.000000, -1
792357.504000, -1, 8424708, 29.630896, 6760350, 1009.576546, 1009.576546, 98.813560, 0.000000, -1
792358.504000, -1, 8423574, 29.593276, 6759460, 1009.140226, 1009.140226, 102.545624, 0.000000, -1
792359.504000, -1, 8423112, 29.577949, 6759268, 1009.029775, 1009.029775, 103.489532, 0.000000, -1
792360.504000, -1, 8423558, 29.592745, 6759262, 1009.060918, 1009.060918, 103.225212, 0.000000, -1
792361.504000, -1, 8423292, 29.583921, 6759740, 1009.229488, 1009.229488, 101.779099, 0.000000, -1
792362.504000, -1, 8422088, 29.543978, 6759778, 1009.153998, 1009.153998, 102.419052, 0.000000, -1
792363.504000, -1, 8421902, 29.537808, 6759984, 1009.221273, 1009.221273, 101.841537, 0.000000, -1
792364.504000, -1, 8421890, 29.537410, 6759948, 1009.206172, 1009.206172, 101.970863, 0.000000, -1
792365.504000, -1, 8421628, 29.528718, 6760186, 1009.280353, 1009.280353, 101.333778, 0.000000, -1
792366.504000, -1, 8421270, 29.516841, 6760068, 1009.206906, 1009.206906, 101.961029, 0.000000, -1
792367.504000, -1, 8421316, 29.518367, 6760014, 1009.189065, 1009.189065, 102.114151, 0.000000, -1
792368.504000, -1, 8421098, 29.511135, 6760050, 1009.186879, 1009.186879, 102.131630, 0.000000, -1
792369.504000, -1, 8420898, 29.504500, 6760190, 1009.227064, 1009.227064, 101.786186, 0.000000, -1
792370.504000, -1, 8420392, 29.487714, 6760220, 1009.200864, 1009.200864, 102.007759, 0.000000, -1
792371.504000, -1, 8420090, 29.477695, 6760394, 1009.246787, 1009.246787, 101.612595, 0.000000, -1
792372.504000, -1, 8419894, 29.471193, 6760452, 1009.254927, 1009.254927, 101.541733, 0.000000, -1
792373.504000, -1, 8419320, 29.452151, 6760764, 1009.334819, 1009.334819, 100.854080, 0.000000, -1
792374.504000, -1, 8418538, 29.426208, 6760856, 1009.312309, 1009.312309, 101.042465, 0.000000, -1
792375.504000, -1, 8417814, 29.402190, 6761334, 1009.446359, 1009.446359, 99.890228, 0.000000, -1
792376.504000, -1, 8416858, 29.370474, 6761780, 1009.550323, 1009.550323, 98.994560, 0.000000, -1
792377.504000, -1, 8416616, 29.362446, 6761656, 1009.483233, 1009.483233, 99.567719, 0.000000, -1
792378.504000, -1, 8416084, 29.344797, 6761754, 1009.481863, 1009.481863, 99.576485, 0.000000, -1
792379.504000, -1, 8415394, 29.321907, 6761934, 1009.500934, 1009.500934, 99.409317, 0.000000, -1
792380.504000, -1, 8414994, 29.308637, 6762000, 1009.496869, 1009.496869, 99.441895, 0.000000, -1
792381.504000, -1, 8414890, 29.305187, 6762160, 1009.552123, 1009.552123, 98.968208, 0.000000, -1
792382.504000, -1, 8414564, 29.294372, 6761190, 1009.145213, 1009.145213, 102.451035, 0.000000, -1
792383.504000, -1, 8414450, 29.290590, 6762024, 1009.465414, 1009.465414, 99.708183, 0.000000, -1
792384.504000, -1, 8414170, 29.281301, 6762370, 1009.580749, 1009.580749, 98.719124, 0.000000, -1
792385.504000, -1, 8413746, 29.267235, 6762032, 1009.415618, 1009.415618, 100.130623, 0.000000, -1
792386.504000, -1, 8413376, 29.254960, 6761810, 1009.300281, 1009.300281, 101.116180, 0.000000, -1
792387.504000, -1, 8413314, 29.252903, 6762328, 1009.499803, 1009.499803, 99.407394, 0.000000, -1
792388.504000, -1, 8413078, 29.245074, 6762560, 1009.573498, 1009.573498, 98.775139, 0.000000, -1
792389.504000, -1, 8412590, 29.228885, 6761816, 1009.243533, 1009.243533, 101.597664, 0.000000, -1
792390.504000, -1, 8412406, 29.222780, 6762494, 1009.496930, 1009.496930, 99.426910, 0.000000, -1
792391.504000, -1, 8411870, 29.204999, 6762090, 1009.297377, 1009.297377, 101.132484, 0.000000, -1
792392.504000, -1, 8411002, 29.176203, 6761666, 1009.064987, 1009.064987, 103.117599, 0.000000, -1
792393.504000, -1, 8410222, 29.150327, 6761838, 1009.074112, 1009.074112, 103.034935, 0.000000, -1
792394.504000, -1, 8409644, 29.131152, 6761780, 1009.007785, 1009.007785, 103.599602, 0.000000, -1
792395.504000, -1, 8408460, 29.091873, 6762300, 1009.123641, 1009.123641, 102.600616, 0.000000, -1
792396.504000, -1, 8407512, 29.060423, 6762290, 1009.048392, 1009.048392, 103.239479, 0.000000, -1
792397.504000, -1, 8406444, 29.024993, 6762478, 1009.042124, 1009.042124, 103.286949, 0.000000, -1
792398.504000, -1, 8405382, 28.989761, 6762722, 1009.058357, 1009.058357, 103.141792, 0.000000, -1
792399.504000, -1, 8404346, 28.955392, 6762940, 1009.066290, 1009.066290, 103.067879, 0.000000, -1
792400.504000, -1, 8403598, 28.930577, 6763038, 1009.048613, 1009.048613, 103.214874, 0.000000, -1
792401.504000, -1, 8402944, 28.908881, 6763262, 1009.087634, 1009.087634, 102.877045, 0.000000, -1
792402.504000, -1, 8402468, 28.893090, 6763384, 1009.099867, 1009.099867, 102.769577, 0.000000, -1
792403.504000, -1, 8401952, 28.875972, 6763484, 1009.100422, 1009.100422, 102.761848, 0.000000, -1
792404.504000, -1, 8401364, 28.856465, 6763568, 1009.089253, 1009.089253, 102.854050, 0.000000, -1
792405.504000, -1, 8401050, 28.846048, 6763868, 1009.183770, 1009.183770, 102.043266, 0.000000, -1
792406.504000, -1, 8400956, 28.842930, 6764116, 1009.274363, 1009.274363, 101.267418, 0.000000, -1
792407.504000, -1, 8400748, 28.836029, 6764070, 1009.240591, 1009.240591, 101.555252, 0.000000, -1
792408.504000, -1, 8400446, 28.826010, 6763980, 1009.182416, 1009.182416, 102.051392, 0.000000, -1
792409.504000, -1, 8400240, 28.819176, 6763682, 1009.049557, 1009.049557, 103.187317, 0.000000, -1
792410.504000, -1, 8400136, 28.815726, 6763858, 1009.111039, 1009.111039, 102.660492, 0.000000, -1
792411.504000, -1, 8399932, 28.808959, 6763834, 1009.086233, 1009.086233, 102.871613, 0.000000, -1
792412.504000, -1, 8399544, 28.796087, 6763952, 1009.103496, 1009.103496, 102.721626, 0.000000, -1
792413.504000, -1, 8399316, 28.788523, 6764196, 1009.182416, 1009.182416, 102.044907, 0.000000, -1
792414.504000, -1, 8398796, 28.771272, 6764414, 1009.229113, 1009.229113, 101.642326, 0.000000, -1
792415.504000, -1, 8398826, 28.772267, 6764394, 1009.223496, 1009.223496, 101.690559, 0.000000, -1
792416.504000, -1, 8398800, 28.771405, 6764392, 1009.220751, 1009.220751, 101.713905, 0.000000, -1
792417.504000, -1, 8398738, 28.769348, 6764362, 1009.204271, 1009.204271, 101.854568, 0.000000, -1
792418.504000, -1, 8398636, 28.765964, 6764634, 1009.303694, 1009.303694, 101.003242, 0.000000, -1
792419.504000, -1, 8398448, 28.759727, 6764512, 1009.241502, 1009.241502, 101.534325, 0.000000, -1
792420.504000, -1, 8398238, 28.752761, 6764470, 1009.209155, 1009.209155, 101.809914, 0.000000, -1
792421.504000, -1, 8398064, 28.746988, 6764652, 1009.267716, 1009.267716, 101.307831, 0.000000, -1
792422.504000, -1, 8397892, 28.741282, 6764860, 1009.336663, 1009.336663, 100.716942, 0.000000, -1
792423.504000, -1, 8397938, 28.742808, 6765624, 1009.640941, 1009.640941, 98.114265, 0.000000, -1
792424.504000, -1, 8397466, 28.727150, 6764870, 1009.308525, 1009.308525, 100.955269, 0.000000, -1
792425.504000, -1, 8397086, 28.714543, 6765802, 1009.646851, 1009.646851, 98.059013, 0.000000, -1
792426.504000, -1, 8395990, 28.678184, 6765992, 1009.639097, 1009.639097, 98.119286, 0.000000, -1
792427.504000, -1, 8395022, 28.646071, 6765616, 1009.418167, 1009.418167, 100.003502, 0.000000, -1
792428.504000, -1, 8394532, 28.629815, 6766066, 1009.558398, 1009.558398, 98.801369, 0.000000, -1
792429.504000, -1, 8394254, 28.620592, 6766224, 1009.599650, 1009.599650, 98.447044, 0.000000, -1
792430.504000, -1, 8393306, 28.589143, 6765646, 1009.300731, 1009.300731, 100.998322, 0.000000, -1
792431.504000, -1, 8392278, 28.555039, 6765664, 1009.230388, 1009.230388, 101.594170, 0.000000, -1
792432.504000, -1, 8391108, 28.516225, 6765914, 1009.240651, 1009.240651, 101.499702, 0.000000, -1
792433.504000, -1, 8389592, 28.465932, 6766052, 1009.180760, 1009.180760, 102.003288, 0.000000, -1
792434.504000, -1, 8387726, 28.404028, 6766676, 1009.285702, 1009.285702, 101.095146, 0.000000, -1
792435.504000, -1, 8386322, 28.357450, 6766918, 1009.275117, 1009.275117, 101.177666, 0.000000, -1
792436.504000, -1, 8385308, 28.323811, 6766854, 1009.173532, 1009.173532, 102.040512, 0.000000, -1
792437.504000, -1, 8384414, 28.294153, 6767260, 1009.265865, 1009.265865, 101.245911, 0.000000, -1
792438.504000, -1, 8383070, 28.249566, 6767606, 1009.300659, 1009.300659, 100.940796, 0.000000, -1
792439.504000, -1, 8381724, 28.204913, 6767598, 1009.196059, 1009.196059, 101.827347, 0.000000, -1
792440.504000, -1, 8379802, 28.141151, 6768140, 1009.264311, 1009.264311, 101.232918, 0.000000, -1
792441.504000, -1, 8377928, 28.078981, 6768472, 1009.253560, 1009.253560, 101.314133, 0.000000, -1
792442.504000, -1, 8376288, 28.024575, 6768724, 1009.228969, 1009.228969, 101.514938, 0.000000, -1
792443.504000, -1, 8374454, 27.963732, 6769078, 1009.229816, 1009.229816, 101.497215, 0.000000, -1
792444.504000, -1, 8372718, 27.906141, 6769476, 1009.255309, 1009.255309, 101.269470, 0.000000, -1
792445.504000, -1, 8370996, 27.849014, 6769740, 1009.229163, 1009.229163, 101.483040, 0.000000, -1
792446.504000, -1, 8369504, 27.799517, 6770050, 1009.238416, 1009.238416, 101.395462, 0.000000, -1
792447.504000, -1, 8368186, 27.755793, 6770144, 1009.175910, 1009.175910, 101.921890, 0.000000, -1
792448.504000, -1, 8366658, 27.705102, 6770634, 1009.253115, 1009.253115, 101.253662, 0.000000, -1
792449.504000, -1, 8364722, 27.640876, 6770866, 1009.198145, 1009.198145, 101.712097, 0.000000, -1
792450.504000, -1, 8363472, 27.599407, 6771312, 1009.278973, 1009.278973, 101.014671, 0.000000, -1
792451.504000, -1, 8362224, 27.558005, 6771554, 1009.279807, 1009.279807, 101.000443, 0.000000, -1
792452.504000, -1, 8361396, 27.530536, 6771680, 1009.266780, 1009.266780, 101.106964, 0.000000, -1
792453.504000, -1, 8360454, 27.499286, 6771878, 1009.273413, 1009.273413, 101.044968, 0.000000, -1
792454.504000, -1, 8359398, 27.464253, 6772068, 1009.268286, 1009.268286, 101.082733, 0.000000, -1
792455.504000, -1, 8358370, 27.430149, 6772202, 1009.243276, 1009.243276, 101.290390, 0.000000, -1
792456.504000, -1, 8357886, 27.414093, 6772202, 1009.206731, 1009.206731, 101.599632, 0.000000, -1
792457.504000, -1, 8357480, 27.400624, 6772380, 1009.245952, 1009.245952, 101.262466, 0.000000, -1
792458.504000, -1, 8357186, 27.390871, 6773404, 1009.625733, 1009.625733, 98.019234, 0.000000, -1
792459.504000, -1, 8356348, 27.363070, 6772632, 1009.259392, 1009.259392, 101.141281, 0.000000, -1
792460.504000, -1, 8354862, 27.313772, 6772884, 1009.246078, 1009.246078, 101.246452, 0.000000, -1
792461.504000, -1, 8353900, 27.281858, 6772820, 1009.148304, 1009.148304, 102.075539, 0.000000, -1
792462.504000, -1, 8353566, 27.270778, 6773024, 1009.203139, 1009.203139, 101.605553, 0.000000, -1
792463.504000, -1, 8353496, 27.268456, 6772972, 1009.177445, 1009.177445, 101.824471, 0.000000, -1
792464.504000, -1, 8353194, 27.258437, 6773000, 1009.165623, 1009.165623, 101.923645, 0.000000, -1
792465.504000, -1, 8353076, 27.254522, 6772972, 1009.145722, 1009.145722, 102.092834, 0.000000, -1
792466.504000, -1, 8352910, 27.249015, 6773122, 1009.192050, 1009.192050, 101.696449, 0.000000, -1
792467.504000, -1, 8352812, 27.245764, 6773240, 1009.230955, 1009.230955, 101.363831, 0.000000, -1
792468.504000, -1, 8352742, 27.243442, 6773198, 1009.209185, 1009.209185, 101.549232, 0.000000, -1
792469.504000, -1, 8352686, 27.241584, 6773298, 1009.244198, 1009.244198, 101.250076, 0.000000, -1
792470.504000, -1, 8352700, 27.242049, 6773334, 1009.259383, 1009.259383, 101.120560, 0.000000, -1
792471.504000, -1, 8352750, 27.243707, 6773182, 1009.203511, 1009.203511, 101.597710, 0.000000, -1
792472.504000, -1, 8352698, 27.241982, 6773242, 1009.223129, 1009.223129, 101.429970, 0.000000, -1
792473.504000, -1, 8352434, 27.233224, 6773398, 1009.264405, 1009.264405, 101.076187, 0.000000, -1
792474.504000, -1, 8352302, 27.228845, 6773406, 1009.257573, 1009.257573, 101.133743, 0.000000, -1
792475.504000, -1, 8352086, 27.221679, 6773434, 1009.252243, 1009.252243, 101.177994, 0.000000, -1
792476.504000, -1, 8351904, 27.215642, 6773556, 1009.286368, 1009.286368, 100.885727, 0.000000, -1
792477.504000, -1, 8351590, 27.205225, 6773548, 1009.259508, 1009.259508, 101.113167, 0.000000, -1
792478.504000, -1, 8351192, 27.192021, 6773608, 1009.252984, 1009.252984, 101.166573, 0.000000, -1
792479.504000, -1, 8350888, 27.181936, 6773762, 1009.290444, 1009.290444, 100.845169, 0.000000, -1
792480.504000, -1, 8350452, 27.167472, 6773712, 1009.237885, 1009.237885, 101.291206, 0.000000, -1
792481.504000, -1, 8350250, 27.160770, 6773794, 1009.254797, 1009.254797, 101.145729, 0.000000, -1
792482.504000, -1, 8349954, 27.150951, 6773808, 1009.237926, 1009.237926, 101.288010, 0.000000, -1
792483.504000, -1, 8349560, 27.137880, 6773968, 1009.270933, 1009.270933, 101.004105, 0.000000, -1
792484.504000, -1, 8349296, 27.129122, 6773812, 1009.189782, 1009.189782, 101.695091, 0.000000, -1
792485.504000, -1, 8348954, 27.117776, 6774054, 1009.258884, 1009.258884, 101.103462, 0.000000, -1
792486.504000, -1, 8348766, 27.111539, 6773974, 1009.213294, 1009.213294, 101.491417, 0.000000, -1
792487.504000, -1, 8348362, 27.098137, 6774046, 1009.211014, 1009.211014, 101.508553, 0.000000, -1
792488.504000, -1, 8348046, 27.087653, 6774232, 1009.260104, 1009.260104, 101.087875, 0.000000, -1
792489.504000, -1, 8347764, 27.078298, 6774040, 1009.163476, 1009.163476, 101.910774, 0.000000, -1
792490.504000, -1, 8347256, 27.061445, 6774274, 1009.216883, 1009.216883, 101.452148, 0.000000, -1
792491.504000, -1, 8346928, 27.050564, 6774354, 1009.223478, 1009.223478, 101.393997, 0.000000, -1
792492.504000, -1, 8346638, 27.040943, 6774474, 1009.248634, 1009.248634, 101.177719, 0.000000, -1
792493.504000, -1, 8346792, 27.046052, 6774426, 1009.241444, 1009.241444, 101.239944, 0.000000, -1
792494.504000, -1, 8346810, 27.046649, 6774484, 1009.265555, 1009.265555, 101.034332, 0.000000, -1
792495.504000, -1, 8346834, 27.047446, 6774530, 1009.285413, 1009.285413, 100.865044, 0.000000, -1
792496.504000, -1, 8346926, 27.050498, 6774414, 1009.246863, 1009.246863, 101.194466, 0.000000, -1
792497.504000, -1, 8346862, 27.048374, 6774514, 1009.281253, 1009.281253, 100.900696, 0.000000, -1
792498.504000, -1, 8346996, 27.052820, 6774404, 1009.248230, 1009.248230, 101.183205, 0.000000, -1
792499.504000, -1, 8347152, 27.057995, 6774616, 1009.343181, 1009.343181, 100.374008, 0.000000, -1
792500.504000, -1, 8347408, 27.066488, 6774502, 1009.317809, 1009.317809, 100.591919, 0.000000, -1
792501.504000, -1, 8347492, 27.069275, 6774324, 1009.254331, 1009.254331, 101.133980, 0.000000, -1
792502.504000, -1, 8347662, 27.074914, 6774334, 1009.271100, 1009.271100, 100.991867, 0.000000, -1
792503.504000, -1, 8347898, 27.082743, 6774412, 1009.319533, 1009.319533, 100.579979, 0.000000, -1
792504.504000, -1, 8348038, 27.087388, 6774392, 1009.322267, 1009.322267, 100.557449, 0.000000, -1
792505.504000, -1, 8348242, 27.094156, 6774330, 1009.313361, 1009.313361, 100.634598, 0.000000, -1
792506.504000, -1, 8348432, 27.100459, 6774162, 1009.261811, 1009.261811, 101.075516, 0.000000, -1
792507.504000, -1, 8348548, 27.104307, 6774222, 1009.294115, 1009.294115, 100.800545, 0.000000, -1
792508.504000, -1, 8348682, 27.108752, 6774286, 1009.329349, 1009.329349, 100.500679, 0.000000, -1
792509.504000, -1, 8348730, 27.110345, 6774120, 1009.267852, 1009.267852, 101.025673, 0.000000, -1
792510.504000, -1, 8348848, 27.114259, 6774160, 1009.292461, 1009.292461, 100.816360, 0.000000, -1
792511.504000, -1, 8349022, 27.120032, 6774232, 1009.333856, 1009.333856, 100.464149, 0.000000, -1
792512.504000, -1, 8349160, 27.124610, 6774106, 1009.294851, 1009.294851, 100.797745, 0.000000, -1
792513.504000, -1, 8349362, 27.131311, 6774088, 1009.303052, 1009.303052, 100.728912, 0.000000, -1
792514.504000, -1, 8349530, 27.136885, 6774106, 1009.322809, 1009.322809, 100.561287, 0.000000, -1
792515.504000, -1, 8349626, 27.140069, 6774074, 1009.317508, 1009.317508, 100.607063, 0.000000, -1
792516.504000, -1, 8349754, 27.144316, 6773950, 1009.278529, 1009.278529, 100.940399, 0.000000, -1
792517.504000, -1, 8349908, 27.149425, 6773812, 1009.236020, 1009.236020, 101.304008, 0.000000, -1
792518.504000, -1, 8350064, 27.154600, 6773968, 1009.309014, 1009.309014, 100.682030, 0.000000, -1
792519.504000, -1, 8350216, 27.159643, 6773756, 1009.237319, 1009.237319, 101.294693, 0.000000, -1
792520.504000, -1, 8350378, 27.165017, 6773852, 1009.287225, 1009.287225, 100.869736, 0.000000, -1
792521.504000, -1, 8350590, 27.172050, 6773958, 1009.344834, 1009.344834, 100.379356, 0.000000, -1
792522.504000, -1, 8350690, 27.175367, 6773876, 1009.320215, 1009.320215, 100.589996, 0.000000, -1
792523.504000, -1, 8351022, 27.186381, 6773740, 1009.291935, 1009.291935, 100.833206, 0.000000, -1
792524.504000, -1, 8351288, 27.195206, 6773646, 1009.275147, 1009.275147, 100.977982, 0.000000, -1
792525.504000, -1, 8351546, 27.203765, 6773682, 1009.308765, 1009.308765, 100.692566, 0.000000, -1
792526.504000, -1, 8351746, 27.210400, 6773622, 1009.300331, 1009.300331, 100.765671, 0.000000, -1
792527.504000, -1, 8351950, 27.217168, 6773572, 1009.296122, 1009.296122, 100.802750, 0.000000, -1
792528.504000, -1, 8352190, 27.225129, 6773462, 1009.271088, 1009.271088, 101.017761, 0.000000, -1
792529.504000, -1, 8352452, 27.233821, 6773450, 1009.286171, 1009.286171, 100.890533, 0.000000, -1
792530.504000, -1, 8352552, 27.237139, 6773396, 1009.272534, 1009.272534, 101.007477, 0.000000, -1
792531.504000, -1, 8352758, 27.243973, 6773312, 1009.255131, 1009.255131, 101.157181, 0.000000, -1
792532.504000, -1, 8353106, 27.255518, 6773338, 1009.291622, 1009.291622, 100.847725, 0.000000, -1
792533.504000, -1, 8353250, 27.260295, 6773316, 1009.293866, 1009.293866, 100.829391, 0.000000, -1
792534.504000, -1, 8353510, 27.268920, 6773144, 1009.246004, 1009.246004, 101.239365, 0.000000, -1
792535.504000, -1, 8353750, 27.276882, 6773182, 1009.279046, 1009.279046, 100.958725, 0.000000, -1
792536.504000, -1, 8354002, 27.285242, 6773104, 1009.267468, 1009.267468, 101.058975, 0.000000, -1
792537.504000, -1, 8354240, 27.293138, 6773124, 1009.293295, 1009.293295, 100.839897, 0.000000, -1
792538.504000, -1, 8354526, 27.302626, 6773020, 1009.274079, 1009.274079, 101.005531, 0.000000, -1
792539.504000, -1, 8354830, 27.312711, 6772874, 1009.239736, 1009.239736, 101.300400, 0.000000, -1
792540.504000, -1, 8355156, 27.323526, 6772966, 1009.300468, 1009.300468, 100.783875, 0.000000, -1
792541.504000, -1, 8355500, 27.334938, 6772710, 1009.225967, 1009.225967, 101.421761, 0.000000, -1
792542.504000, -1, 8355868, 27.347146, 6772798, 1009.288301, 1009.288301, 100.891769, 0.000000, -1
792543.504000, -1, 8356182, 27.357563, 6772708, 1009.276688, 1009.276688, 100.992691, 0.000000, -1
792544.504000, -1, 8356406, 27.364994, 6772714, 1009.295960, 1009.295960, 100.829453, 0.000000, -1
792545.504000, -1, 8356614, 27.371895, 6772512, 1009.232375, 1009.232375, 101.373436, 0.000000, -1
792546.504000, -1, 8357004, 27.384833, 6772540, 1009.272817, 1009.272817, 101.030411, 0.000000, -1
792547.504000, -1, 8357124, 27.388814, 6772510, 1009.270103, 1009.270103, 101.054268, 0.000000, -1
792548.504000, -1, 8357592, 27.404340, 6772388, 1009.257550, 1009.257550, 101.164093, 0.000000, -1
792549.504000, -1, 8357780, 27.410576, 6772384, 1009.270176, 1009.270176, 101.057373, 0.000000, -1
792550.504000, -1, 8358010, 27.418207, 6772204, 1009.216879, 1009.216879, 101.513702, 0.000000, -1
792551.504000, -1, 8358148, 27.422785, 6772258, 1009.248499, 1009.248499, 101.244537, 0.000000, -1
792552.504000, -1, 8358432, 27.432206, 6772424, 1009.335114, 1009.335114, 100.506714, 0.000000, -1
792553.504000, -1, 8358710, 27.441429, 6772346, 1009.325484, 1009.325484, 100.590500, 0.000000, -1
792554.504000, -1, 8358920, 27.448396, 6772158, 1009.267530, 1009.267530, 101.086456, 0.000000, -1
792555.504000, -1, 8358970, 27.450054, 6772276, 1009.317634, 1009.317634, 100.658989, 0.000000, -1
792556.504000, -1, 8359330, 27.461997, 6772050, 1009.256084, 1009.256084, 101.186516, 0.000000, -1
792557.504000, -1, 8359458, 27.466244, 6772226, 1009.334851, 1009.334851, 100.514771, 0.000000, -1
792558.504000, -1, 8360140, 27.488869, 6773114, 1009.735016, 1009.735016, 97.102859, 0.000000, -1
792559.504000, -1, 8360416, 27.498025, 6773178, 1009.780993, 1009.780993, 96.711990, 0.000000, -1
